id,name,set,setCode,number,rarity,color,type,cost,power,life,attribute,effect,imageUrl,artist
OP01-052,Usopp,Romance Dawn Booster,OP01,052,Common,Red,Character,2,2000,,Straw Hat Crew,[On Play] This Character gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-052.png,Eiichiro Oda
OP01-053,Franky,Romance Dawn Booster,OP01,053,Uncommon,Red,Character,4,5000,,Straw Hat Crew,[On Play] This Character gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-053.png,Eiichiro Oda
OP01-054,Brook,Romance Dawn Booster,OP01,054,Common,Red,Character,2,3000,,Straw Hat Crew,[On Play] This Character gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-054.png,Eiichiro Oda
OP01-055,Jinbe,Romance Dawn Booster,OP01,055,Super Rare,Red,Character,5,6000,,Straw Hat Crew|Fish-Man,[On Play] This Character gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-055.png,Eiichiro Oda
OP02-056,Trafalgar Law,Paramount War,OP02,056,Super Rare,Blue,Character,7,8000,,Heart Pirates|Supernovas,[On Play] K.O. up to 1 of your opponent's Characters with 5000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/OP02-056.png,Eiichiro Oda
OP02-057,Eustass Kid,Paramount War,OP02,057,Rare,Red,Character,6,7000,,Kid Pirates|Supernovas,[On Play] This Character gains +2000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP02-057.png,Eiichiro Oda
OP02-058,Marco,Paramount War,OP02,058,Super Rare,Blue,Character,8,9000,,Whitebeard Pirates,[On Play] Draw 1 card.,https://en.onepiece-cardgame.com/images/cardlist/card/OP02-058.png,Eiichiro Oda
OP02-059,Whitebeard,Paramount War,OP02,059,Secret Rare,Blue,Character,10,12000,,Whitebeard Pirates|Four Emperors,[On Play] Draw 2 cards. Then K.O. up to 1 of your opponent's Characters.,https://en.onepiece-cardgame.com/images/cardlist/card/OP02-059.png,Eiichiro Oda
OP03-060,Dracule Mihawk,Pillars of Strength,OP03,060,Secret Rare,Green,Character,9,10000,,Seven Warlords,[On Play] K.O. up to 1 of your opponent's Characters with 8000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-060.png,Eiichiro Oda
OP03-061,Boa Hancock,Pillars of Strength,OP03,061,Super Rare,Purple,Character,7,8000,,Seven Warlords,[On Play] Return up to 1 of your opponent's Characters to their hand.,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-061.png,Eiichiro Oda
ST02-062,Kaido,Worst Generation,ST02,062,Secret Rare,Purple,Character,10,12000,,Beast Pirates|Four Emperors,[DON!! x2] [When Attacking] This Character gains +3000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/ST02-062.png,Eiichiro Oda
ST02-063,King,Worst Generation,ST02,063,Super Rare,Purple,Character,8,9000,,Beast Pirates,[On Play] This Character gains +2000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/ST02-063.png,Eiichiro Oda
ST02-064,Queen,Worst Generation,ST02,064,Super Rare,Purple,Character,7,8000,,Beast Pirates,[On Play] K.O. up to 1 of your opponent's Characters with 4000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/ST02-064.png,Eiichiro Oda
ST02-065,Jack,Worst Generation,ST02,065,Rare,Purple,Character,6,7000,,Beast Pirates,[On Play] This Character gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/ST02-065.png,Eiichiro Oda
OP01-066,Charlotte Linlin,Romance Dawn Booster,OP01,066,Secret Rare,Yellow,Character,10,12000,,Big Mom Pirates|Four Emperors,[On Play] Draw 1 card. Then place up to 1 card from your hand at the top of your Life cards.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-066.png,Eiichiro Oda
OP01-067,Charlotte Katakuri,Romance Dawn Booster,OP01,067,Super Rare,Yellow,Character,8,9000,,Big Mom Pirates,[On Play] Look at up to 3 cards from the top of your deck and place them in any order.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-067.png,Eiichiro Oda
OP03-068,Monkey D. Garp,Pillars of Strength,OP03,068,Super Rare,Blue,Character,8,9000,,Navy,[On Play] K.O. up to 1 of your opponent's Characters with 6000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-068.png,Eiichiro Oda
OP03-069,Sengoku,Pillars of Strength,OP03,069,Super Rare,Blue,Character,9,10000,,Navy,[On Play] Draw 1 card. All of your Characters gain +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-069.png,Eiichiro Oda
OP03-070,Akainu,Pillars of Strength,OP03,070,Super Rare,Red,Character,8,9000,,Navy,[On Play] K.O. up to 1 of your opponent's Characters with 7000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-070.png,Eiichiro Oda
OP03-071,Aokiji,Pillars of Strength,OP03,071,Super Rare,Blue,Character,8,8500,,Navy,[On Play] Rest up to 1 of your opponent's Characters.,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-071.png,Eiichiro Oda
OP03-072,Kizaru,Pillars of Strength,OP03,072,Super Rare,Yellow,Character,8,8500,,Navy,[On Play] Return up to 1 of your opponent's Characters to their hand.,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-072.png,Eiichiro Oda
OP04-073,Monkey D. Dragon,Kingdoms of Intrigue,OP04,073,Secret Rare,Green,Character,9,10000,,Revolutionary Army,[On Play] Draw 2 cards. Then place 1 card from your hand at the bottom of your deck.,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-073.png,Eiichiro Oda
OP04-074,Sabo,Kingdoms of Intrigue,OP04,074,Super Rare,Red,Character,7,8000,,Revolutionary Army,[On Play] K.O. up to 1 of your opponent's Characters with 5000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-074.png,Eiichiro Oda
OP05-075,Marshall D. Teach,Awakening of the New Era,OP05,075,Secret Rare,Black,Character,9,10000,,Blackbeard Pirates|Four Emperors,[On Play] K.O. up to 1 of your opponent's Characters. Then trash 2 cards from your hand.,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-075.png,Eiichiro Oda
OP05-076,Gol D. Roger,Awakening of the New Era,OP05,076,Secret Rare,Red,Character,10,12000,,Roger Pirates,[On Play] Draw 3 cards. Then place 1 card from your hand at the top of your Life cards.,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-076.png,Eiichiro Oda
OP05-077,Silvers Rayleigh,Awakening of the New Era,OP05,077,Super Rare,Yellow,Character,8,9000,,Roger Pirates,[On Play] Draw 1 card. All of your Characters gain +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-077.png,Eiichiro Oda
